image_path,category,scanner_model,file_name,width,height,channels_or_mode,format,dpi,file_size_bytes,md5
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV39-2\300.tif,flatfield,Flatfield,300.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,e0564b4e413ed9290ab30e00202a3e07
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV550\150.tif,flatfield,Flatfield,150.tif,1239.0,1754.0,RGB,TIFF,151.0,6521797,a3bf683b012afcd75574ad9f98cd6b5a
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV550\300.tif,flatfield,Flatfield,300.tif,2478.0,3508.0,RGB,TIFF,301.0,26085907,223d4570caa7f288522e9ace2c51bf93
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\HP\150.tif,flatfield,Flatfield,150.tif,1240.0,1743.0,RGB,TIFF,150.0,6486119,7fd9f1df3a9a64bb92471da66a6f59f6
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\HP\300.tif,flatfield,Flatfield,300.tif,2480.0,3503.0,RGB,TIFF,300.0,26069743,b9c5e1d9ca7c920f975df0b773aed5e8
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-1\150\s1_60.tif,official_scans,Official,s1_60.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,db3cf65e43a063acad94a922526903a5
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-1\150\s1_61.tif,official_scans,Official,s1_61.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,5c9b1a10672c433d3c7bed686ff7650e
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-1\150\s1_68.tif,official_scans,Official,s1_68.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,12799ec21cf9ce3a62d8fa8d0dea8441
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-1\150\s1_70.tif,official_scans,Official,s1_70.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,cd0db02f6a582ab2766757772860e810
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-1\150\s1_76.tif,official_scans,Official,s1_76.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,105014df1b02e811ab014d454d4b0568
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-1\150\s1_83.tif,official_scans,Official,s1_83.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,e11bdba537a758ff5c52a0224c40af77
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-1\150\s1_87.tif,official_scans,Official,s1_87.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,020835293572b13c3b4865036257d71e
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-2\150\s2_66.tif,official_scans,Official,s2_66.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,6fdba1466e81e7517c1b64171b44dab5
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-2\150\s2_73.tif,official_scans,Official,s2_73.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,daed85307d26ccc0472e421be6ccc55c
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-2\150\s2_81.tif,official_scans,Official,s2_81.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,ba647506dd4f99022540615be8c408bd
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon120-2\150\s2_98.tif,official_scans,Official,s2_98.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,f638a0550e848fb999528a2416e2f891
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\150\s3_65.tif,official_scans,Official,s3_65.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,3c02b1ff002edf3d29c08586aec05c03
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\150\s3_86.tif,official_scans,Official,s3_86.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,17b241e1a23f280d8ae8755e13a5c27e
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\150\s3_95.tif,official_scans,Official,s3_95.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,f20aaf9747f031ddf2e43c2430c1c320
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_100.tif,official_scans,Official,s3_100.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,adfe967127c7501010544f3ad62083e7
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_47.tif,official_scans,Official,s3_47.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,e5cb1f31f1060da9e593886748aaeab4
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_83.tif,official_scans,Official,s3_83.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,6a368ec411854975c64f6d99d791d9a4
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_84.tif,official_scans,Official,s3_84.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,fbd34226e2f52110f2f953322d19f575
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_85.tif,official_scans,Official,s3_85.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,48c736105098ccab5469eda8832a9535
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_86.tif,official_scans,Official,s3_86.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,57de29278fdc0d1b2dc65debb73a2859
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_87.tif,official_scans,Official,s3_87.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,d102c1dedc9587f5c827f2d344e920b5
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_88.tif,official_scans,Official,s3_88.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,eebbb652983ae959a0d2977d40f1ab5f
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_89.tif,official_scans,Official,s3_89.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,b4092bb13d2d7cbabe55b1262184fd29
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_90.tif,official_scans,Official,s3_90.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,61bb63e8c37ef5ff79dc4dd1ce3420f5
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_91.tif,official_scans,Official,s3_91.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,3b819e1376e28384ce9067bc6b034c33
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_92.tif,official_scans,Official,s3_92.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,1c57ab79dd31825dc1d8781ba82a5b7e
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_93.tif,official_scans,Official,s3_93.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,0da92be60a2a820353e7149340ef48b8
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_94.tif,official_scans,Official,s3_94.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,f819edabf358e3dce81eb97fbd01a0e3
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_95.tif,official_scans,Official,s3_95.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,4f61b22e61de15684b734bcb11511c90
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_96.tif,official_scans,Official,s3_96.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,2268a1d830112d78a799fe52bf06ae6f
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_97.tif,official_scans,Official,s3_97.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,6019d20f8a3157375c809d1ee703998e
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_98.tif,official_scans,Official,s3_98.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,36f22e45d62c7914938d0e3f056421a0
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon220\300\s3_99.tif,official_scans,Official,s3_99.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,cdf50be1455acb0e9a1296734f28f7b6
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_100.tif,official_scans,Official,s4_100.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,9c0ea891317c940db59632e107466728
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_11.tif,official_scans,Official,s4_11.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,5d6a441acc93f17fbd8d2d3b14cbc3e7
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_14.tif,official_scans,Official,s4_14.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,adf7e2333ce01a7637673eca88baa402
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_21.tif,official_scans,Official,s4_21.tif,1240.0,1754.0,RGB,TIFF,151.0,6527049,6749ddab270720a2131d7a42dabe8e7e
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_30.tif,official_scans,Official,s4_30.tif,1240.0,1754.0,RGB,TIFF,151.0,6527049,0748038a3dd43f350fbef76e95b4a9c7
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_34.tif,official_scans,Official,s4_34.tif,1240.0,1754.0,RGB,TIFF,151.0,6527049,440bd9b853a03a5ab923de34d3085cf4
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_35.tif,official_scans,Official,s4_35.tif,1240.0,1754.0,RGB,TIFF,151.0,6527049,41dd0a3e4ec5447863074828653736a8
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_39.tif,official_scans,Official,s4_39.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,d08952b39a0b7e8b31833e692fbc688d
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_40.tif,official_scans,Official,s4_40.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,9c3eda165999853be15c6fec3894748d
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_41.tif,official_scans,Official,s4_41.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,f33168a818f4c82830bd977209b2682d
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_43.tif,official_scans,Official,s4_43.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,bd1e5631c145520bd05c6aa3963e84c0
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_44.tif,official_scans,Official,s4_44.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,d6c83f1f260dd70dcd853e45fe9f1ebb
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_48.tif,official_scans,Official,s4_48.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,6f076a424da4659a8714524e6236c322
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_68.tif,official_scans,Official,s4_68.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,b48c75e8454f6f8a17284a11c7c4935b
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_70.tif,official_scans,Official,s4_70.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,406f12646900845e89a7cf9219f469f5
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_75.tif,official_scans,Official,s4_75.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,3489abdca6174fa77e89717f02349899
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_76.tif,official_scans,Official,s4_76.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,417cf78301fc51c103dc8c08c8168cbf
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_77.tif,official_scans,Official,s4_77.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,c041d7cc8ad402b9649e22d37af9f863
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_78.tif,official_scans,Official,s4_78.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,b9ac6ead050c63bd9f132ec331a8fd85
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_79.tif,official_scans,Official,s4_79.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,e2dd762d93572ace5d3aa0846e4ce6d8
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_80.tif,official_scans,Official,s4_80.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,ffd5dc0c437f065aae19af3160354347
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_81.tif,official_scans,Official,s4_81.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,a3e551d952225319e1fdc5d0e9c8cc97
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_82.tif,official_scans,Official,s4_82.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,571b586f789c5b6e123729fd05b3c4e6
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_83.tif,official_scans,Official,s4_83.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,712910dc15a2f215277b5f515c48a627
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_84.tif,official_scans,Official,s4_84.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,73abd70d8d3a3c2bbebf9d1625d15bac
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_85.tif,official_scans,Official,s4_85.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,c42d6fbf6a3cd6271371a4c3d29bb569
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_86.tif,official_scans,Official,s4_86.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,1154164348ddc36d8a2fbac2bbad9a4d
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_87.tif,official_scans,Official,s4_87.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,59c768685c5f9aeb9957023c68bdffaa
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_88.tif,official_scans,Official,s4_88.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,267fe2b3e3ac9928ac4b5541fc0fc950
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_89.tif,official_scans,Official,s4_89.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,7c3f01a707aa5c66a4059b64f0e8c8c2
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_9.tif,official_scans,Official,s4_9.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,ff75d6747c7c056903965eb6c6c37687
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_90.tif,official_scans,Official,s4_90.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,dee445ec909b4b3942961d8ed6a63957
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_91.tif,official_scans,Official,s4_91.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,29647b6ba4ccef11315fed9785cc360c
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_92.tif,official_scans,Official,s4_92.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,e3a45bccd7767759b3abe8869e8a4239
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_93.tif,official_scans,Official,s4_93.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,0fae8082d7147b13ea93b63f8156d2ce
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_94.tif,official_scans,Official,s4_94.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,1ce292e4c46210470613518eaf25e170
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_95.tif,official_scans,Official,s4_95.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,4140c7d19b00318cd687cd86691b5071
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_96.tif,official_scans,Official,s4_96.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,22714bb485aa795f0a57d66dc941378c
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_97.tif,official_scans,Official,s4_97.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,94380a3a86507afcd40c9f3f43fdff9e
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_98.tif,official_scans,Official,s4_98.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,2c8ffe32d1d86441aa9f0e310e05d465
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\150\s4_99.tif,official_scans,Official,s4_99.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,b860e72d33ccf59251fda35a61d9bbc8
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\300\s4_75.tif,official_scans,Official,s4_75.tif,2480.0,3508.0,RGB,TIFF,301.0,26106953,ef2e98a08118e32f9cc0962db361da70
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\300\s4_76.tif,official_scans,Official,s4_76.tif,2480.0,3508.0,RGB,TIFF,301.0,26106953,0b11fe5387c62e87f88bb73cd9c87078
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\Canon9000-1\300\s4_93.tif,official_scans,Official,s4_93.tif,2480.0,3508.0,RGB,TIFF,301.0,26106953,7d7baf587f8fd859c8e0732fc4baa0b3
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\150\s6_91.tif,official_scans,Official,s6_91.tif,1236.0,1754.0,RGB,TIFF,151.0,6506011,a98a4051b424151f84586da743b9b04d
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\150\s6_95.tif,official_scans,Official,s6_95.tif,1236.0,1754.0,RGB,TIFF,151.0,6506011,5db902331c22fc727c50ff3d267baf55
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\150\s6_99.tif,official_scans,Official,s6_99.tif,1236.0,1754.0,RGB,TIFF,151.0,6506011,7b41a0f15064707ad8a5961aa6ae15b6
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_100.tif,official_scans,Official,s6_100.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,d4763de5eac0695aaf21a6ae06678023
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_82.tif,official_scans,Official,s6_82.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,3e4a77a014f986d6a0488ac2d09bbb6f
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_83.tif,official_scans,Official,s6_83.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,54a0d6e9a925551a1695e31a4bf1b32c
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_84.tif,official_scans,Official,s6_84.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,735ea0e6567f3986ef14b302f1b79c87
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_86.tif,official_scans,Official,s6_86.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,cb64043f4520317e1a690c172a798eb2
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_87.tif,official_scans,Official,s6_87.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,64200f59d095a6df4be47256effb42bd
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_88.tif,official_scans,Official,s6_88.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,f9fb1cac701bead07f3f7ad51ca8695b
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_89.tif,official_scans,Official,s6_89.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,56491db2acd888daf5ccdd75de36c832
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_90.tif,official_scans,Official,s6_90.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,2667614fa6e689f9b99bdd342b4835bc
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_91.tif,official_scans,Official,s6_91.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,795963fc702116878d1f4836233c121f
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_92.tif,official_scans,Official,s6_92.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,e460f8a2ad85556debd3ee5bdc49ae1f
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_93.tif,official_scans,Official,s6_93.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,08f4294a458af0f78d5a59bac5e537e7
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_94.tif,official_scans,Official,s6_94.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,efdfae93fb8cce05ab2143b7ffaa7353
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_95.tif,official_scans,Official,s6_95.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,2e150dc702df4c2e24a52b96309edd71
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_96.tif,official_scans,Official,s6_96.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,fb342d44cbadcfd466cd454c838637aa
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_97.tif,official_scans,Official,s6_97.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,bf7cd6c7668e8bd45320e19977385d3e
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_98.tif,official_scans,Official,s6_98.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,9fe85f9a2450e78a334f2d6d08a30ecd
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-1\300\s6_99.tif,official_scans,Official,s6_99.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,9374c51147cfe94f1eccf1c4e253b94a
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-2\150\s7_100.tif,official_scans,Official,s7_100.tif,1236.0,1754.0,RGB,TIFF,151.0,6506011,5dbf5eb954e8ab6d6d5ff4abf49b916f
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-2\150\s7_12.tif,official_scans,Official,s7_12.tif,1236.0,1754.0,RGB,TIFF,151.0,6506011,48ba92031f9bdd2c39ee1df3bbb6de0e
C:\Users\Admin\AI_TraceFinder\data\official_scans\Official\EpsonV370-2\150\s7_16.tif,official_scans,Official,s7_16.tif,1236.0,1754.0,RGB,TIFF,151.0,6506011,34ac67c28d634a5cb024b783afe19a4f
